City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Bidor,MY,2022-08-09 01:47:28,4.1139,101.2884,84.33,69,79,2.48,broken clouds
224,Rupert,US,2022-08-09 01:47:28,42.6191,-113.6772,88.18,23,0,5.75,clear sky
225,Hualmay,PE,2022-08-09 01:47:28,-11.0964,-77.6139,61.68,83,29,10.54,scattered clouds
226,Semirom,IR,2022-08-09 01:47:29,31.4167,51.5667,70.65,35,8,0.83,clear sky
227,Port Keats,AU,2022-08-09 01:47:29,-14.25,129.55,87.66,31,7,7.74,clear sky
228,Itarema,BR,2022-08-09 01:47:29,-2.9248,-39.9167,76.73,82,3,13.6,clear sky
229,Parrita,CR,2022-08-09 01:47:30,9.5201,-84.3225,77.81,88,100,1.14,overcast clouds
230,Kayasula,RU,2022-08-09 01:47:30,44.325,45.0,63.72,63,0,2.95,clear sky
231,Yar-Sale,RU,2022-08-09 01:47:30,66.8333,70.8333,57.56,71,97,10.25,overcast clouds
232,Amsterdam,NL,2022-08-09 01:45:32,52.374,4.8897,60.91,90,0,4.61,clear sky
233,Sechura,PE,2022-08-09 01:47:31,-5.5569,-80.8222,62.76,80,5,13.04,clear sky
234,Pinawa,CA,2022-08-09 01:47:31,50.1489,-95.8811,71.19,60,0,9.42,clear sky
235,Puksoozero,RU,2022-08-09 01:47:31,62.5903,40.6066,54.81,78,100,2.48,overcast clouds
236,Gimli,CA,2022-08-09 01:47:32,50.6336,-96.9907,72.77,65,0,8.41,clear sky
237,Baykit,RU,2022-08-09 01:47:32,61.67,96.37,61.99,70,99,1.7,overcast clouds
238,Cidreira,BR,2022-08-09 01:47:32,-30.1811,-50.2056,59.59,85,100,12.28,overcast clouds
239,New Norfolk,AU,2022-08-09 01:47:33,-42.7826,147.0587,54.91,49,6,1.81,clear sky
240,Novaya Bryan,RU,2022-08-09 01:47:33,51.7159,108.2691,70.61,34,72,7.43,broken clouds
241,Mitsamiouli,KM,2022-08-09 01:47:33,-11.3847,43.2844,74.52,66,98,4.94,overcast clouds
242,El Paso,US,2022-08-09 01:44:52,31.8001,-106.2005,87.46,40,75,14.97,broken clouds
243,Olinda,BR,2022-08-09 01:47:34,-8.0089,-34.8553,76.73,78,75,10.36,broken clouds
244,Saint George,US,2022-08-09 01:47:34,37.1041,-113.5841,102.63,19,0,13.8,clear sky
245,Pustoshka,RU,2022-08-09 01:47:34,56.3355,29.369,53.2,91,45,4.05,scattered clouds
246,Aripuana,BR,2022-08-09 01:47:35,-9.1667,-60.6333,75.51,68,25,0.58,scattered clouds
247,Lamesa,US,2022-08-09 01:47:39,32.7376,-101.951,74.23,70,100,16.24,overcast clouds
248,Sam Roi Yot,TH,2022-08-09 01:47:40,12.2708,99.872,76.98,83,100,5.5,light rain
249,Vardo,NO,2022-08-09 01:47:40,70.3705,31.1107,48.18,87,100,4.61,overcast clouds
250,Chapais,CA,2022-08-09 01:47:40,49.7834,-74.8492,55.18,96,100,5.53,overcast clouds
251,Wattegama,LK,2022-08-09 01:47:41,6.7989,81.4808,78.13,68,96,7.76,overcast clouds
252,Lahad Datu,MY,2022-08-09 01:47:41,5.0268,118.327,80.56,84,99,3.47,overcast clouds
253,Leningradskiy,RU,2022-08-09 01:47:41,69.3833,178.4167,40.53,74,57,4.92,broken clouds
254,Bethel,US,2022-08-09 01:47:42,41.3712,-73.414,82.27,78,78,7.58,broken clouds
255,Cayenne,GF,2022-08-09 01:47:42,4.9333,-52.3333,82.09,1,0,3.44,clear sky
256,Basco,PH,2022-08-09 01:47:42,20.4487,121.9702,84.6,73,100,15.7,light rain
257,Nara,JP,2022-08-09 01:46:42,34.6851,135.8049,95.97,38,98,4.81,overcast clouds
258,Zhenlai,CN,2022-08-09 01:47:43,45.8495,123.2973,76.64,40,0,15.32,clear sky
259,Casablanca,MA,2022-08-09 01:46:41,33.5928,-7.6192,73.62,79,8,6.78,clear sky
